EISSN,Title,JCR Abbr,ISO Abbr,Med Abbr
1573-0832,MYCOPATHOLOGIA,MYCOPATHOLOGIA,Mycopathologia,Mycopathologia
1557-2536,MYCOLOGIA,MYCOLOGIA,Mycologia,Mycologia
1872-9428,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,MOL BIOCHEM PARASIT,Mol. Biochem. Parasitol.,Mol Biochem Parasitol
1432-1912,NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,N-S ARCH PHARMACOL,Naunyn-Schmiedebergs Arch. Pharmacol.,Naunyn Schmiedebergs Arch Pharmacol
1432-1904,Science of Nature,SCI NAT-HEIDELBERG,Sci. Nat.,Naturwissenschaften
1557-9875,NEUROLOGIC CLINICS,NEUROL CLIN,Neurol. Clin.,Neurol Clin
1338-4317,NEOPLASMA,NEOPLASMA,Neoplasma,Neoplasma
1439-0507,MYCOSES,MYCOSES,Mycoses,Mycoses
2235-3186,NEPHRON,NEPHRON,Nephron,Nephron
1558-1497,NEUROBIOLOGY OF AGING,NEUROBIOL AGING,Neurobiol. Aging,Neurobiol Aging
1872-9061,NETHERLANDS JOURNAL OF MEDICINE,NETH J MED,Neth. J. Med.,Neth J Med
1365-2990,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,NEUROPATH APPL NEURO,Neuropathol. Appl. Neurobiol.,Neuropathol Appl Neurobiol
1773-0619,NEUROCHIRURGIE,NEUROCHIRURGIE,Neurochirurgie,Neurochirurgie
1573-6903,NEUROCHEMICAL RESEARCH,NEUROCHEM RES,Neurochem. Res.,Neurochem Res
1423-0208,NEUROEPIDEMIOLOGY,NEUROEPIDEMIOLOGY,Neuroepidemiology,Neuroepidemiology
1433-0407,NERVENARZT,NERVENARZT,Nervenarzt,Nervenarzt
1743-1328,NEUROLOGICAL RESEARCH,NEUROL RES,Neurol. Res.,Neurol Res
1423-0194,NEUROENDOCRINOLOGY,NEUROENDOCRINOLOGY,Neuroendocrinology,Neuroendocrinology
1349-8029,NEUROLOGIA MEDICO-CHIRURGICA,NEUROL MED-CHIR,Neurol. Med.-Chir.,Neurol Med Chir (Tokyo)
1873-7064,NEUROPHARMACOLOGY,NEUROPHARMACOLOGY,Neuropharmacology,Neuropharmacology
1873-3514,NEUROPSYCHOLOGIA,NEUROPSYCHOLOGIA,Neuropsychologia,Neuropsychologia
1897-4260,Neurologia i Neurochirurgia Polska,NEUROL NEUROCHIR POL,Neurol. Neurochir. Pol.,Neurol Neurochir Pol
1439-1899,NEUROPEDIATRICS,NEUROPEDIATRICS,Neuropediatrics,Neuropediatrics
1532-2785,NEUROPEPTIDES,NEUROPEPTIDES,Neuropeptides,Neuropeptides
1526-632X,NEUROLOGY,NEUROLOGY,Neurology,Neurology
1423-0224,NEUROPSYCHOBIOLOGY,NEUROPSYCHOBIOLOGY,Neuropsychobiology,Neuropsychobiology
1998-4022,NEUROLOGY INDIA,NEUROL INDIA,Neurol. India,Neurol India
1873-7544,NEUROSCIENCE,NEUROSCIENCE,Neuroscience,Neuroscience
1432-1920,NEURORADIOLOGY,NEURORADIOLOGY,Neuroradiology,Neuroradiology
1524-4040,NEUROSURGERY,NEUROSURGERY,Neurosurgery,Neurosurgery
1532-7914,NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,NUTR CANCER,Nutr. Cancer,Nutr Cancer
2567-6407,NUKLEARMEDIZIN-NUCLEAR MEDICINE,NUKLEARMED-NUCL MED,Nuklearmedizin,Nuklearmedizin
1362-4962,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,Nucleic Acids Res.,Nucleic Acids Res
1873-7528,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NEUROSCI BIOBEHAV R,Neurosci. Biobehav. Rev.,Neurosci Biobehav Rev
1558-1357,NURSING CLINICS OF NORTH AMERICA,NURS CLIN N AM,Nurs. Clin. North Am.,Nurs Clin North Am
1528-3968,NURSING OUTLOOK,NURS OUTLOOK,Nurs. Outlook,Nurs Outlook
1753-4887,NUTRITION REVIEWS,NUTR REV,Nutr. Rev.,Nutr Rev
1872-9711,NEUROTOXICOLOGY,NEUROTOXICOLOGY,Neurotoxicology,Neurotoxicology
1872-8111,NEUROSCIENCE RESEARCH,NEUROSCI RES,Neurosci. Res.,Neurosci Res
1538-9855,Nurse Educator,NURS EDUC,Nurs. Educ.,Nurse Educ
1552-7409,NURSING SCIENCE QUARTERLY,NURS SCI QUART,Nurs. Sci. Q.,Nurs Sci Q
1176-0710,NEW ZEALAND VETERINARY JOURNAL,NEW ZEAL VET J,N. Z. Vet. J.,N Z Vet J
1473-5628,NUCLEAR MEDICINE COMMUNICATIONS,NUCL MED COMMUN,Nucl. Med. Commun.,Nucl Med Commun
1423-0259,OPHTHALMIC RESEARCH,OPHTHALMIC RES,Ophthalmic Res.,Ophthalmic Res
1423-0232,ONCOLOGY,ONCOLOGY-BASEL,Oncology,Oncology
1558-0474,OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,OBSTET GYN CLIN N AM,Obstet. Gynecol. Clin. N. Am.,Obstet Gynecol Clin North Am
1533-9866,OBSTETRICAL & GYNECOLOGICAL SURVEY,OBSTET GYNECOL SURV,Obstet. Gynecol. Surv.,Obstet Gynecol Surv
1423-0267,OPHTHALMOLOGICA,OPHTHALMOLOGICA,Ophthalmologica,Ophthalmologica
2219-0635,ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,ONDERSTEPOORT J VET,Onderstepoort J. Vet. Res.,Onderstepoort J Vet Res
1423-0275,ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery,ORL J OTO-RHINO-LARY,ORL-J. Oto-Rhino-Laryngol. Head Neck Surg.,ORL J Otorhinolaryngol Relat Spec
1549-4713,OPHTHALMOLOGY,OPHTHALMOLOGY,Ophthalmology,Ophthalmology
1573-0875,ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,ORIGINS LIFE EVOL B,Orig. Life Evol. Biosph.,Orig Life Evol Biosph
1538-9235,OPTOMETRY AND VISION SCIENCE,OPTOMETRY VISION SCI,Optom. Vis. Sci.,Optom Vis Sci
1788-6120,ORVOSI HETILAP,ORVOSI HETILAP,Orvosi Hetilap,Orv Hetil
1557-8259,OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA,OTOLARYNG CLIN N AM,Otolaryngol. Clin. N. Am.,Otolaryngol Clin North Am
1476-5594,ONCOGENE,ONCOGENE,Oncogene,Oncogene
1475-1313,OPHTHALMIC AND PHYSIOLOGICAL OPTICS,OPHTHAL PHYSL OPT,Ophthalmic Physiol. Opt.,Ophthalmic Physiol Opt
1872-6623,PAIN,PAIN,Pain,Pain
1827-1898,PANMINERVA MEDICA,PANMINERVA MED,Panminerva Medica,Panminerva Med
1097-6817,OTOLARYNGOLOGY-HEAD AND NECK SURGERY,OTOLARYNG HEAD NECK,Otolaryngol. Head Neck Surg.,Otolaryngol Head Neck Surg
1365-3024,PARASITE IMMUNOLOGY,PARASITE IMMUNOL,Parasite Immunol.,Parasite Immunol
1542-538X,Orthopaedic Nursing,ORTHOP NURS,Orthop. Nurs.,Orthop Nurs
1469-8161,PARASITOLOGY,PARASITOLOGY,Parasitology,Parasitology
1099-0496,PEDIATRIC PULMONOLOGY,PEDIATR PULM,Pediatr. Pulmonol.,Pediatr Pulmonol
1465-3931,PATHOLOGY,PATHOLOGY,Pathology,Pathology
1433-0431,ORTHOPADE,ORTHOPADE,Orthopade,Orthopade
1938-2359,PEDIATRIC ANNALS,PEDIATR ANN,Pediatr. Ann.,Pediatr Ann
1098-4275,PEDIATRICS,PEDIATRICS,Pediatrics,Pediatrics
1432-1998,PEDIATRIC RADIOLOGY,PEDIATR RADIOL,Pediatr. Radiol.,Pediatr Radiol
1530-0447,PEDIATRIC RESEARCH,PEDIATR RES,Pediatr. Res.,Pediatr Res
1557-8240,PEDIATRIC CLINICS OF NORTH AMERICA,PEDIATR CLIN N AM,Pediatr. Clin. N. Am.,Pediatr Clin North Am
1558-688X,PERCEPTUAL AND MOTOR SKILLS,PERCEPT MOTOR SKILL,Percept. Mot. Skills,Percept Mot Skills
1532-0987,PEDIATRIC INFECTIOUS DISEASE JOURNAL,PEDIATR INFECT DIS J,Pediatr. Infect. Dis. J.,Pediatr Infect Dis J
1744-6163,PERSPECTIVES IN PSYCHIATRIC CARE,PERSPECT PSYCHIATR C,Perspect. Psychiatr. Care,Perspect Psychiatr Care
1432-2013,PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,PFLUG ARCH EUR J PHY,Pflugers Arch.,Pflugers Arch
1468-4233,PERCEPTION,PERCEPTION,Perception,Perception
1529-8795,PERSPECTIVES IN BIOLOGY AND MEDICINE,PERSPECT BIOL MED,Perspect. Biol. Med.,Perspect Biol Med
1532-2823,PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,PROSTAG LEUKOTR ESS,Prostaglandins Leukot. Essent. Fatty Acids,Prostaglandins Leukot Essent Fatty Acids
1746-1553,PROSTHETICS AND ORTHOTICS INTERNATIONAL,PROSTHET ORTHOT INT,Prosthet. Orthot. Int.,Prosthet Orthot Int
1879-016X,PHARMACOLOGY & THERAPEUTICS,PHARMACOL THERAPEUT,Pharmacol. Ther.,Pharmacol Ther
1873-5177,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,Pharmacol. Biochem. Behav.,Pharmacol Biochem Behav
1521-0081,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,Pharmacol. Rev.,Pharmacol Rev
1423-0313,PHARMACOLOGY,PHARMACOLOGY,Pharmacology,Pharmacology
1538-6724,PHYSICAL THERAPY,PHYS THER,Phys. Ther.,Phys Ther
1439-0795,PHARMACOPSYCHIATRY,PHARMACOPSYCHIATRY,Pharmacopsychiatry,Pharmacopsychiatry
1423-0321,PHONETICA,PHONETICA,Phonetica,Phonetica
1873-507X,PHYSIOLOGY & BEHAVIOR,PHYSIOL BEHAV,Physiol. Behav.,Physiol Behav
1751-1097,PHOTOCHEMISTRY AND PHOTOBIOLOGY,PHOTOCHEM PHOTOBIOL,Photochem. Photobiol.,Photochem Photobiol
1361-6560,PHYSICS IN MEDICINE AND BIOLOGY,PHYS MED BIOL,Phys. Med. Biol.,Phys Med Biol
1522-1210,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,Physiol. Rev.,Physiol Rev
1873-1465,Physiotherapy,PHYSIOTHERAPY,Physiotherapy,Physiotherapy
1943-7684,PHYTOPATHOLOGY,PHYTOPATHOLOGY,Phytopathology,Phytopathology
1558-299X,PRIMARY CARE,PRIMARY CARE,Primary Care,Prim Care
1432-1971,PEDIATRIC CARDIOLOGY,PEDIATR CARDIOL,Pediatr. Cardiol.,Pediatr Cardiol
1529-4242,PLASTIC AND RECONSTRUCTIVE SURGERY,PLAST RECONSTR SURG,Plast. Reconstr. Surg.,Plast Reconstr Surg
1095-9890,PLASMID,PLASMID,Plasmid,Plasmid
1540-8159,PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,PACE,PACE-Pacing Clin. Electrophysiol.,Pacing Clin Electrophysiol
1559-2863,OPERATIVE DENTISTRY,OPER DENT,Oper. Dent.,Oper Dent
1365-3016,PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,PAEDIATR PERINAT EP,Paediatr. Perinat. Epidemiol.,Paediatr Perinat Epidemiol
1532-2548,PLANT PHYSIOLOGY,PLANT PHYSIOL,Plant Physiol.,Plant Physiol
1535-1815,PEDIATRIC EMERGENCY CARE,PEDIATR EMERG CARE,Pediatr. Emerg. Care,Pediatr Emerg Care
1538-0688,ONCOLOGY NURSING FORUM,ONCOL NURS FORUM,Oncol. Nurs. Forum,Oncol Nurs Forum
1873-5169,PEPTIDES,PEPTIDES,Peptides,Peptides
1439-0221,PLANTA MEDICA,PLANTA MED,Planta Med.,Planta Med
1875-9114,PHARMACOTHERAPY,PHARMACOTHERAPY,Pharmacotherapy,Pharmacotherapy
1942-5473,PEDIATRIC DENTISTRY,PEDIATR DENT,Pediatr. Dent.,Pediatr Dent
1558-3147,PSYCHIATRIC CLINICS OF NORTH AMERICA,PSYCHIAT CLIN N AM,Psychiatr. Clin. North Amer.,Psychiatr Clin North Am
1618-0631,PATHOLOGY RESEARCH AND PRACTICE,PATHOL RES PRACT,Pathol. Res. Pract.,Pathol Res Pract
1873-5134,PATIENT EDUCATION AND COUNSELING,PATIENT EDUC COUNS,Patient Educ. Couns.,Patient Educ Couns
1938-2367,ORTHOPEDICS,ORTHOPEDICS,Orthopedics,Orthopedics
1525-1470,PEDIATRIC DERMATOLOGY,PEDIATR DERMATOL,Pediatr. Dermatol.,Pediatr Dermatol
1525-3171,POULTRY SCIENCE,POULTRY SCI,Poult. Sci.,Poult Sci
1469-0756,POSTGRADUATE MEDICAL JOURNAL,POSTGRAD MED J,Postgrad. Med. J.,Postgrad Med J
1941-9260,POSTGRADUATE MEDICINE,POSTGRAD MED,Postgrad. Med.,Postgrad Med
1708-8313,Physiotherapy Canada,PHYSIOTHER CAN,Physiother. Can.,Physiother Can
1096-1186,PHARMACOLOGICAL RESEARCH,PHARMACOL RES,Pharmacol. Res.,Pharmacol Res
1525-1446,PUBLIC HEALTH NURSING,PUBLIC HEALTH NURS,Public Health Nurs.,Public Health Nurs
1532-3102,PLACENTA,PLACENTA,Placenta,Placenta
2213-0276,PRESSE MEDICALE,PRESSE MED,Presse Med.,Presse Med
1573-9104,PLANT FOODS FOR HUMAN NUTRITION,PLANT FOOD HUM NUTR,Plant Food Hum. Nutr.,Plant Foods Hum Nutr
0027-7622,Nagoya Journal of Medical Science,NAGOYA J MED SCI,Nagoya J. Med. Sci.,Nagoya J Med Sci
1097-0223,PRENATAL DIAGNOSIS,PRENATAL DIAG,Prenat. Diagn.,Prenat Diagn
1096-0260,PREVENTIVE MEDICINE,PREV MED,Prev. Med.,Prev Med
2196-8225,PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE,PRAX KINDERPSYCHOL K,Prax. Kinderpsychol. Kinderpsychiatr.,Prax Kinderpsychol Kinderpsychiatr
1573-904X,PHARMACEUTICAL RESEARCH,PHARM RES-DORDR,Pharm. Res.,Pharm Res
1432-1963,PATHOLOGE,PATHOLOGE,Pathologe,Pathologe
1432-1955,PARASITOLOGY RESEARCH,PARASITOL RES,Parasitol. Res.,Parasitol Res
1536-4828,PANCREAS,PANCREAS,Pancreas,Pancreas
1091-6490,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,Proc. Natl. Acad. Sci. U. S. A.,Proc Natl Acad Sci U S A
1475-2719,PROCEEDINGS OF THE NUTRITION SOCIETY,P NUTR SOC,Proc. Nutr. Soc.,Proc Nutr Soc
1530-0285,MODERN PATHOLOGY,MODERN PATHOL,Mod. Pathol.,Mod Pathol
1873-1740,PROGRESS IN CARDIOVASCULAR DISEASES,PROG CARDIOVASC DIS,Prog. Cardiovasc. Dis.,Prog Cardiovasc Dis
1878-4216,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,PROG NEURO-PSYCHOPH,Prog. Neuro-Psychopharmacol. Biol. Psychiatry,Prog Neuropsychopharmacol Biol Psychiatry
1873-5118,PROGRESS IN NEUROBIOLOGY,PROG NEUROBIOL,Prog. Neurobiol.,Prog Neurobiol
1873-1732,PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,PROG BIOPHYS MOL BIO,Prog. Biophys. Mol. Biol.,Prog Biophys Mol Biol
1878-4216,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,PROG NEURO-PSYCHOPH,Prog. Neuro-Psychopharmacol. Biol. Psychiatry,Prog Neuropsychopharmacol
1615-6102,PROTOPLASMA,PROTOPLASMA,Protoplasma,Protoplasma
1573-6709,PSYCHIATRIC QUARTERLY,PSYCHIAT QUART,Psychiatr. Q.,Psychiatr Q
1943-281X,PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,PSYCHIATRY,Psychiatry-Interpers. Biol. Process.,Psychiatry
1939-1455,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,Psychol. Bull.,Psychol Bull
2167-4086,PSYCHOANALYTIC QUARTERLY,PSYCHOANAL QUART,Psychoanal. Q.,Psychoanal Q
1872-7123,PSYCHIATRY RESEARCH,PSYCHIAT RES,Psychiatry Res.,Psychiatry Res
1558-691X,PSYCHOLOGICAL REPORTS,PSYCHOL REP,Psychol. Rep.,Psychol Rep
1439-0876,PSYCHIATRISCHE PRAXIS,PSYCHIAT PRAX,Psychiatr. Prax.,Psychiatr Prax
1873-2194,PROGRESS IN LIPID RESEARCH,PROG LIPID RES,Prog. Lipid Res.,Prog Lipid Res
1538-9847,NURSING RESEARCH,NURS RES,Nurs. Res.,Nurs Res
1430-2772,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,PSYCHOL RES-PSYCH FO,Psychol. Res.-Psychol. Forsch.,Psychol Res
1742-6316,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,HIST PHIL LIFE SCI,Hist. Philos. Life Sci.,Hist Philos Life Sci
1873-3360,PSYCHONEUROENDOCRINOLOGY,PSYCHONEUROENDOCRINO,Psychoneuroendocrinology,Psychoneuroendocrinology
1534-7796,PSYCHOSOMATIC MEDICINE,PSYCHOSOM MED,Psychosom. Med.,Psychosom Med
1432-2072,PSYCHOPHARMACOLOGY,PSYCHOPHARMACOLOGY,Psychopharmacology,Psychopharmacology (Berl)
1545-7206,PSYCHOSOMATICS,PSYCHOSOMATICS,Psychosomatics,Psychosomatics
1469-8986,PSYCHOPHYSIOLOGY,PSYCHOPHYSIOLOGY,Psychophysiology,Psychophysiology
1939-1471,PSYCHOLOGICAL REVIEW,PSYCHOL REV,Psychol. Rev.,Psychol Rev
1860-0980,PSYCHOMETRIKA,PSYCHOMETRIKA,Psychometrika,Psychometrika
1423-033X,PSYCHOPATHOLOGY,PSYCHOPATHOLOGY,Psychopathology,Psychopathology
1439-1058,PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE,PSYCHOTHER PSYCH MED,Psychother. Psychosom. Med. Psychol.,Psychother Psychosom Med Psychol
1540-6210,PUBLIC ADMINISTRATION REVIEW,PUBLIC ADMIN REV,Public Adm. Rev.,Public Adm Rev
1468-2877,PUBLIC HEALTH REPORTS,PUBLIC HEALTH REP,Public Health Rep.,Public Health Rep
1423-0348,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,Psychother. Psychosom.,Psychother Psychosom
2373-6011,Puerto Rico Health Sciences Journal,P R HEALTH SCI J,P. R. Health Sci. J.,P R Health Sci J
1537-5331,PUBLIC OPINION QUARTERLY,PUBLIC OPIN QUART,Public Opin. Q.,Public Opin Q
1539-7718,QUARTERLY REVIEW OF BIOLOGY,Q REV BIOL,Q. Rev. Biol.,Q Rev Biol
1469-8994,QUARTERLY REVIEWS OF BIOPHYSICS,Q REV BIOPHYS,Q. Rev. Biophys.,Q Rev Biophys
1476-5616,PUBLIC HEALTH,PUBLIC HEALTH,Public Health,Public Health
1365-3075,PURE AND APPLIED CHEMISTRY,PURE APPL CHEM,Pure Appl. Chem.,Pure Appl Chem
1936-7163,QUINTESSENCE INTERNATIONAL,QUINTESSENCE INT,Quintessence Int.,Quintessence Int
1432-2099,RADIATION AND ENVIRONMENTAL BIOPHYSICS,RADIAT ENVIRON BIOPH,Radiat. Environ. Biophys.,Radiat Environ Biophys
1558-1373,ORTHOPEDIC CLINICS OF NORTH AMERICA,ORTHOP CLIN N AM,Orthop. Clin. North Am.,Orthop Clin North Am
1557-8275,RADIOLOGIC CLINICS OF NORTH AMERICA,RADIOL CLIN N AM,Radiol. Clin. N. Am.,Radiol Clin North Am
2048-7940,Rehabilitation Nursing,REHABIL NURS,Rehabil. Nurs.,Rehabil Nurs
1769-7123,RESEARCH IN MICROBIOLOGY,RES MICROBIOL,Res. Microbiol.,Res Microbiol
1423-0356,RESPIRATION,RESPIRATION,Respiration,Respiration
1432-2102,RADIOLOGE,RADIOLOGE,Radiologe,Radiologe
1552-7573,RESEARCH ON AGING,RES AGING,Res. Aging,Res Aging
1532-2661,RESEARCH IN VETERINARY SCIENCE,RES VET SCI,Res. Vet. Sci.,Res Vet Sci
1439-1309,REHABILITATION,REHABILITATION,Rehabilitation,Rehabilitation (Stuttg)
2168-3824,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,RES Q EXERCISE SPORT,Res. Q. Exerc. Sport,Res Q Exerc Sport
1943-3654,Respiratory Care,RESP CARE,Respir. Care,Respir Care
1873-1570,RESUSCITATION,RESUSCITATION,Resuscitation,Resuscitation
1539-2864,RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,RETINA-J RET VIT DIS,Retin.-J. Retin. Vitr. Dis.,Retina
1879-0887,RADIOTHERAPY AND ONCOLOGY,RADIOTHER ONCOL,Radiother. Oncol.,Radiother Oncol
1098-240X,RESEARCH IN NURSING & HEALTH,RES NURS HEALTH,Res. Nurs. Health,Res Nurs Health
1096-0295,REGULATORY TOXICOLOGY AND PHARMACOLOGY,REGUL TOXICOL PHARM,Regul. Toxicol. Pharmacol.,Regul Toxicol Pharmacol
1448-5990,REPRODUCTION FERTILITY AND DEVELOPMENT,REPROD FERT DEVELOP,Reprod. Fertil. Dev.,Reprod Fertil Dev
1826-6983,Radiologia Medica,RADIOL MED,Radiol. Med.,Radiol Med
1558-3163,RHEUMATIC DISEASE CLINICS OF NORTH AMERICA,RHEUM DIS CLIN N AM,Rheum. Dis. Clin. North Am.,Rheum Dis Clin North Am
2215-2075,REVISTA DE BIOLOGIA TROPICAL,REV BIOL TROP,Rev. Biol. Trop.,Rev Biol Trop
2197-6554,Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,Rev. Environ. Contam. Toxicol.,Rev Environ Contam Toxicol
1873-3379,RESEARCH IN DEVELOPMENTAL DISABILITIES,RES DEV DISABIL,Res. Dev. Disabil.,Res Dev Disabil
1539-6924,RISK ANALYSIS,RISK ANAL,Risk Anal.,Risk Anal
1525-6049,RENAL FAILURE,RENAL FAILURE,Ren. Fail.,Ren Fail
1806-907X,Revista Brasileira de Anestesiologia,REV BRAS ANESTESIOL,Rev. Bras. Anestesiol.,Rev Bras Anestesiol
1532-3064,RESPIRATORY MEDICINE,RESP MED,Respir. Med.,Respir Med
1578-1860,REVISTA CLINICA ESPANOLA,REV CLIN ESP,Rev. Clin. Esp.,Rev Clin Esp
1438-9010,ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,ROFO-FORTSCHR RONTG,Rofo-Fortschr. Gebiet Rontgenstrahlen Bildgeb. Verfahr.,Rofo
1530-9142,REVIEW OF ECONOMICS AND STATISTICS,REV ECON STAT,Rev. Econ. Stat.,Rev Econ Stat
1579-2242,REVISTA ESPANOLA DE CARDIOLOGIA,REV ESP CARDIOL,Rev. Esp. Cardiol.,Rev Esp Cardiol
1938-5404,RADIATION RESEARCH,RADIAT RES,Radiat. Res.,Radiat Res
2191-0308,REVIEWS ON ENVIRONMENTAL HEALTH,REV ENVIRON HEALTH,Rev. Environ. Health,Rev Environ Health
1980-220X,Revista da Escola de Enfermagem da USP,REV ESC ENFERM USP,Rev. Esc. Enferm. USP,Rev Esc Enferm USP
1097-0045,PROSTATE,PROSTATE,Prostate,Prostate
1098-9021,SEMINARS IN NEUROLOGY,SEMIN NEUROL,Semin. Neurol.,Semin Neurol
1878-3449,Seminars in Oncology Nursing,SEMIN ONCOL NURS,Semin. Oncol. Nurs.,Semin Oncol Nurs
1776-2588,REVUE DES MALADIES RESPIRATOIRES,REV MAL RESPIR,Rev. Mal. Respir.,Rev Mal Respir
1558-4488,SEMINARS IN NEPHROLOGY,SEMIN NEPHROL,Semin. Nephrol.,Semin Nephrol
1423-0372,STEREOTACTIC AND FUNCTIONAL NEUROSURGERY,STEREOT FUNCT NEUROS,Stereotact. Funct. Neurosurg.,Stereotact Funct Neurosurg
0717-6163,REVISTA MEDICA DE CHILE,REV MED CHILE,Rev. Medica Chile,Rev Med Chil
1471-6712,SCANDINAVIAN JOURNAL OF CARING SCIENCES,SCAND J CARING SCI,Scand. J. Caring Sci.,Scand J Caring Sci
1502-7724,SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,SCAND J PRIM HEALTH,Scand. J. Prim. Health Care,Scand J Prim Health Care
1097-0258,STATISTICS IN MEDICINE,STAT MED,Stat. Med.,Stat Med
1179-2035,SPORTS MEDICINE,SPORTS MED,Sports Med.,Sports Med
1550-9109,SLEEP,SLEEP,Sleep,Sleep
1518-8787,REVISTA DE SAUDE PUBLICA,REV SAUDE PUBL,Rev. Saude Publica,Rev Saude Publica
1089-7623,REVIEW OF SCIENTIFIC INSTRUMENTS,REV SCI INSTRUM,Rev. Sci. Instrum.,Rev Sci Instrum
1776-2561,Revue de Pneumologie Clinique,REV PNEUMOL CLIN,Rev. Pneumol. Clin.,Rev Pneumol Clin
1533-1601,TOXICOLOGIC PATHOLOGY,TOXICOL PATHOL,Toxicol. Pathol.,Toxicol Pathol
1437-160X,RHEUMATOLOGY INTERNATIONAL,RHEUMATOL INT,Rheumatol. Int.,Rheumatol Int
2078-5151,SOUTH AFRICAN JOURNAL OF SURGERY,S AFR J SURG,South Afr. J. Surg.,S Afr J Surg
1541-034X,SOCIAL WORK IN HEALTH CARE,SOC WORK HEALTH CARE,Soc. Work Health Care,Soc Work Health Care
1502-7686,SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION,SCAND J CLIN LAB INV,Scand. J. Clin. Lab. Invest.,Scand J Clin Lab Invest
1537-4521,SEXUALLY TRANSMITTED DISEASES,SEX TRANSM DIS,Sex. Transm. Dis.,Sex Transm Dis
2078-5135,SAMJ SOUTH AFRICAN MEDICAL JOURNAL,SAMJ S AFR MED J,SAMJ S. Afr. Med. J.,S Afr Med J
1365-3083,SCANDINAVIAN JOURNAL OF IMMUNOLOGY,SCAND J IMMUNOL,Scand. J. Immunol.,Scand J Immunol
1502-7708,SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,SCAND J GASTROENTERO,Scand. J. Gastroenterol.,Scand J Gastroenterol
1827-1758,Minerva Urologica E Nefrologica,MINERVA UROL NEFROL,Minerva Urol. Nefrol.,Minerva Urol Nefrol
1467-9450,SCANDINAVIAN JOURNAL OF PSYCHOLOGY,SCAND J PSYCHOL,Scand. J. Psychol.,Scand J Psychol
1745-1701,SCHIZOPHRENIA BULLETIN,SCHIZOPHRENIA BULL,Schizophr. Bull.,Schizophr Bull
1502-7732,SCANDINAVIAN JOURNAL OF RHEUMATOLOGY,SCAND J RHEUMATOL,Scand. J. Rheumatol.,Scand J Rheumatol
1095-9203,SCIENCE,SCIENCE,Science,Science
1664-2848,SCHWEIZER ARCHIV FUR TIERHEILKUNDE,SCHWEIZ ARCH TIERH,Schweiz. Arch. Tierheilkd.,Schweiz Arch Tierheilkd
1795-990X,SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,SCAND J WORK ENV HEA,Scand. J. Work Environ. Health,Scand J Work Environ Health
1879-1026,SCIENCE OF THE TOTAL ENVIRONMENT,SCI TOTAL ENVIRON,Sci. Total Environ.,Sci Total Environ
1438-8782,ULTRASCHALL IN DER MEDIZIN,ULTRASCHALL MED,Ultraschall Med.,Ultraschall Med
2047-7163,SCIENCE PROGRESS,SCI PROGRESS-UK,Sci. Prog.,Sci Prog
